"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000271958",305.73836626775,9.96182622002841,1.20414447154624,8.27294934737892,1.3068522901483e-16,8.32885759561973e-14
"ENSG00000231378",229.908277369222,-9.17319813071583,1.11048455209038,-8.26053645991577,1.45019216213204e-16,8.94255188159665e-14
"ENSG00000235984",340.577596368278,9.99780058572298,1.21031510808453,8.26049391513064,1.45070917711131e-16,8.94255188159665e-14
"ENSG00000264024",223.210381611999,-9.23148958836117,1.12203169532416,-8.22747666294237,1.91198365065426e-16,1.15958724567583e-13
"ENSG00000254620",284.407897197241,9.85741667721438,1.20289003416445,8.19477790757617,2.51056278989443e-16,1.49844733373985e-13
"ENSG00000253913",179.13552977927,-8.79927775204824,1.07664869508983,-8.1728402144342,3.01212801052512e-16,1.76971933518384e-13
"ENSG00000225833",181.832077141524,-9.09761704829992,1.11517836290248,-8.15799279374601,3.40637835688962e-16,1.97056367655021e-13
"ENSG00000226340",172.084486941594,-9.01805188861525,1.10696035876951,-8.14668006597785,3.7405159893927e-16,2.04839093803879e-13
"ENSG00000249036",339.031479132539,-9.84810550392083,1.20918127750422,-8.14444094292257,3.81038275760967e-16,2.04839093803879e-13
"ENSG00000214759",174.998296706014,-9.04229663087652,1.10959786959803,-8.14916545770967,3.66444289972705e-16,2.04839093803879e-13
"ENSG00000259097",204.164154526897,-9.00984364535777,1.10626939807157,-8.14434861984212,3.81329093300132e-16,2.04839093803879e-13
"ENSG00000260335",306.368750078997,-9.63769715773165,1.18332498067372,-8.14459029863838,3.80568268299718e-16,2.04839093803879e-13
"ENSG00000254119",318.082083308665,-9.8025384276911,1.20417614937874,-8.14045223595269,3.93804171364589e-16,2.08560907769736e-13
"ENSG00000225152",175.930410802827,-8.78519010423636,1.07942957730827,-8.13873390994494,3.99432744323434e-16,2.08603750722914e-13
"ENSG00000255189",789.221247516593,-10.8465705127053,1.33375479132805,-8.13235729927923,4.21021682256835e-16,2.16866538304404e-13
"ENSG00000232381",846.944462344655,-10.8229467861356,1.33123033272731,-8.13003318814294,4.29172916125628e-16,2.18077837731836e-13
"ENSG00000207137",269.956569229466,9.50138299562491,1.16904992049009,8.12743992287492,4.38451807592658e-16,2.19822198254655e-13
"ENSG00000201347",196.893896898617,-9.04983523481249,1.11423806876236,-8.12199429235492,4.58584900572001e-16,2.26890913569847e-13
"ENSG00000248498",284.920508505684,-9.48255366476046,1.16815294742173,-8.11756173340976,4.75642874359371e-16,2.32274329372222e-13
"ENSG00000265356",247.348321307064,-9.43900454407947,1.16350827496492,-8.11253752738806,4.95734547088361e-16,2.38982185123289e-13
"ENSG00000251620",204.97650795838,-8.86968171465626,1.09466980600911,-8.10260926716602,5.37927910894848e-16,2.56040067157824e-13
"ENSG00000211853",340.91156906998,-9.65647467951282,1.19210775803066,-8.10033708317205,5.4807114226493e-16,2.57607138643074e-13
"ENSG00000235893",277.245165553849,-9.70635736679093,1.19873866943033,-8.09714211639108,5.62653284591268e-16,2.61196158113591e-13
"ENSG00000269810",287.267126980514,-9.60170391911626,1.18898547007463,-8.07554352915145,6.71767375487957e-16,3.05830911326385e-13
"ENSG00000225070",300.418494695775,-9.82225287769955,1.21638632008224,-8.07494520082687,6.75069561195945e-16,3.05830911326385e-13
"ENSG00000241413",915.482935840438,10.3136758344056,1.2806397463819,8.05353407431252,8.04369921686427e-16,3.60070449943488e-13
"ENSG00000234540",281.335365009789,-9.62514584646771,1.19570410433595,-8.04977235719464,8.29481736773343e-16,3.66613499186461e-13
"ENSG00000235832",279.418065568558,9.69010725521579,1.20409236524219,8.04764446228072,8.4402716496722e-16,3.66613499186461e-13
"ENSG00000207248",209.339628516102,-8.89230767876984,1.1050414433451,-8.04703545945905,8.48236115877403e-16,3.66613499186461e-13
"ENSG00000224797",190.455726505934,-8.77449881769908,1.09066892120552,-8.04506174797811,8.6201947621481e-16,3.68337003916242e-13
"ENSG00000252277",242.581152931685,9.40606510275143,1.16951970532271,8.04267346667404,8.78993278743222e-16,3.71369722104524e-13
"ENSG00000208024",661.027500556961,-9.71516634339132,1.20902456562289,-8.03554089770379,9.3166976850699e-16,3.8925162928222e-13
"ENSG00000199975",202.187823413187,-8.63387135942524,1.07477129700165,-8.03321728400415,9.49492937759516e-16,3.92338829072893e-13
"ENSG00000248118",245.512096020077,9.49201785911949,1.18309962048521,8.02300811763141,1.03186528515742e-15,4.21741287527056e-13
"ENSG00000249516",291.554288842176,-9.55226204969165,1.19137531026138,-8.01784455949142,1.07616870941464e-15,4.35119309800098e-13
"ENSG00000258379",341.487818927578,-9.59261308039811,1.19798387559484,-8.00729732329248,1.17256765667405e-15,4.69052010917634e-13
"ENSG00000261030",596.56054691352,-10.686053240973,1.33481824084391,-8.0056242220791,1.18862175667012e-15,4.70469003098e-13
"ENSG00000237576",271.155762196469,-9.67403458929754,1.21139114650216,-7.98588846982325,1.39513782118947e-15,5.40824457240893e-13
"ENSG00000229211",205.710356042592,9.3904697234091,1.175781554426,7.98657683313753,1.3873730903506e-15,5.40824457240893e-13
"ENSG00000223513",223.445640090142,9.40899823621979,1.17855713497288,7.98348926582698,1.42253688785801e-15,5.45818694461603e-13
"ENSG00000176970",225.851376679091,9.52429937646344,1.19350145082345,7.98013221508211,1.46176626859191e-15,5.55205406379726e-13
"ENSG00000265182",214.327485150925,9.44915498323876,1.18480734059241,7.97526708309735,1.52051648412487e-15,5.71744608360633e-13
